resolution_id,signal_id,timestamp,market_id,mode,side,filled_size,avg_fill_price,outcome,winner_side,profit_usd,seconds_held
34b9cbc8c8ba,43bb61f82138,2026-03-17T17:00:00.002777+00:00,1608683,PAPER,NO,1.0,0.81,LOSS,YES,-0.81,117.5
9fc5fb46607e,03f151635746,2026-03-17T17:00:00.008681+00:00,1608684,PAPER,NO,1.0,0.83,WIN,NO,0.1617,112.7
0726166c8fe1,c66193cf4ecf,2026-03-17T17:00:00.033542+00:00,1608686,PAPER,NO,1.0,0.77,LOSS,YES,-0.77,59.4
1c9521a6b276,aa1275a6e2be,2026-03-17T17:25:01.505838+00:00,1608967,PAPER,YES,1.0,0.95,WIN,YES,0.0405,75.2
0d4a13cf2e3f,b48ab6b84b53,2026-03-17T17:30:00.027501+00:00,1609048,PAPER,NO,1.0,0.82,WIN,NO,0.1718,112.1
4c53af0a853d,ad3ee136bd7f,2026-03-17T17:35:00.008361+00:00,1609070,PAPER,YES,1.0,0.82,LOSS,NO,-0.82,114.7
08c17d485973,254a073360f2,2026-03-17T17:35:00.009062+00:00,1609069,PAPER,NO,1.0,0.82,WIN,NO,0.1718,94.8
34b2d9e7dbf4,6722980d3456,2026-03-17T17:35:00.372701+00:00,1609058,PAPER,YES,1.0,0.8,LOSS,NO,-0.8,110.9
19b25a5cb369,9ea7c6f482fe,2026-03-17T17:45:00.023304+00:00,1609093,PAPER,YES,1.0,0.77,LOSS,NO,-0.77,115.0
c56aa1633e94,0222ee2051e6,2026-03-17T17:45:00.081529+00:00,1609092,PAPER,YES,1.0,0.76,WIN,YES,0.2324,113.1
7bbad5883d41,f1a2fe02dfea,2026-03-17T17:45:00.082983+00:00,1609094,PAPER,YES,1.0,0.85,WIN,YES,0.1415,113.7
3ed4a23c2d9b,673f8d59f5ab,2026-03-17T17:50:00.030266+00:00,1609122,PAPER,YES,1.0,0.83,WIN,YES,0.1617,50.2
a80a2712ef0e,f0bf6f6db58d,2026-03-17T17:50:00.034604+00:00,1609124,PAPER,NO,1.0,0.79,LOSS,YES,-0.79,117.8
44a40b7cf861,a1082195b970,2026-03-17T17:50:00.234239+00:00,1609118,PAPER,NO,1.0,0.45,LOSS,YES,-0.45,112.3
b3347afe5ec2,6483cd0e63eb,2026-03-17T17:50:11.325431+00:00,1609114,PAPER,YES,1.0,0.7,WIN,YES,0.293,37.5
aa0d5fc50b5f,cba9b8c8fbaa,2026-03-17T17:55:00.104270+00:00,1609132,PAPER,YES,1.0,0.82,LOSS,NO,-0.82,111.9
e184e81ce40c,e1e5ce3e73bd,2026-03-17T17:55:00.115515+00:00,1609129,PAPER,YES,1.0,0.84,WIN,YES,0.1516,86.0
1f7e96b838f7,ada0dcd7af43,2026-03-17T18:00:00.035742+00:00,1609148,PAPER,YES,1.0,0.95,WIN,YES,0.0405,53.4
4024280eae34,7fb7c759c3b0,2026-03-17T18:00:00.036613+00:00,1609153,PAPER,YES,1.0,0.88,WIN,YES,0.1112,15.1
dc3d36ca28a6,dce4b8c59c2a,2026-03-17T18:05:00.007835+00:00,1609191,PAPER,NO,1.0,0.88,WIN,NO,0.1112,42.2
c00b9f27f005,0c593bac9c82,2026-03-17T18:05:00.469763+00:00,1609199,PAPER,YES,1.0,0.89,WIN,YES,0.1011,56.5
40022cf55c30,942068998b11,2026-03-17T18:05:00.478728+00:00,1609200,PAPER,NO,1.0,0.82,WIN,NO,0.1718,42.8
976912556789,88c8472e739a,2026-03-17T18:05:25.161269+00:00,1609195,PAPER,YES,1.0,0.89,WIN,YES,0.1011,71.9
c8a5653c994e,c5ba35a66a0e,2026-03-17T18:25:00.030891+00:00,1609598,PAPER,NO,1.0,0.8,WIN,NO,0.192,45.3
94a1e5b629c1,be93cafd8e98,2026-03-17T18:25:03.401185+00:00,1609596,PAPER,YES,1.0,0.89,WIN,YES,0.1011,43.1
5c79d062061d,ca05d3a9490b,2026-03-17T18:30:00.041084+00:00,1609704,PAPER,NO,1.0,0.91,WIN,NO,0.0809,56.9
5d9b19af7e4b,314dd33dcbd1,2026-03-17T18:30:01.413550+00:00,1609708,PAPER,NO,1.0,0.83,WIN,NO,0.1617,60.6
aa846888480d,3dd8edf09da6,2026-03-17T18:45:00.001382+00:00,1609739,PAPER,NO,1.0,0.87,WIN,NO,0.1213,31.2
1c38803a25c2,92cac1224e61,2026-03-17T18:45:00.001995+00:00,1609738,PAPER,YES,1.0,0.68,LOSS,NO,-0.68,13.5
fe078606b759,338d32f4bd04,2026-03-17T18:50:00.013389+00:00,1609755,PAPER,YES,1.0,0.9,LOSS,NO,-0.9,51.4
